100.00%,100.00%,99.98%,100.00%,100.00%,99.98%,100.00%,100.00%,99.98%,100.00%,100.00%,99.99%
99.85%,99.80%,99.82%,99.88%,99.80%,99.82%,99.88%,99.80%,99.82%,99.96%,99.98%,99.96%
99.49%,99.41%,99.44%,99.49%,99.44%,99.43%,99.48%,99.41%,99.43%,99.90%,99.90%,99.92%
99.16%,99.02%,99.06%,99.16%,99.02%,99.03%,99.09%,99.02%,99.05%,99.85%,99.89%,99.84%
98.60%,98.69%,98.68%,99.75%,98.68%,98.54%,98.67%,99.75%,98.70%,98.49%,98.64%,99.77%
98.25%,98.03%,98.08%,98.30%,98.08%,98.13%,98.25%,98.03%,98.08%,99.73%,99.71%,99.71%
