100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
99.17%,99.01%,99.10%,99.03%,99.05%,98.97%,99.33%,99.41%,99.52%,99.33%,99.43%,99.18%
97.11%,97.32%,96.61%,96.71%,96.88%,97.56%,97.34%,97.36%,97.24%,97.13%,97.74%,97.37%
95.92%,95.50%,95.75%,95.86%,95.82%,95.36%,95.37%,95.31%,95.17%,94.21%,95.63%,95.89%
92.16%,91.93%,91.73%,90.59%,92.40%,91.06%,91.37%,90.84%,91.18%,91.06%,90.78%,91.09%
92.18%,91.94%,92.38%,92.52%,92.80%,91.89%,92.98%,91.61%,92.38%,93.58%,94.73%,93.15%
