12.54%,4.39%,5.65%,5.80%,2.34%,100.00%,100.00%,4.70%,48.72%,11.69%,15.26%,24.77%,8.39%,16.29%,2.28%,100.00%,100.00%,8.58%,27.79%,16.59%,13.26%,23.59%,5.03%,10.18%,16.54%,100.00%,100.00%,2.97%,50.73%,25.46%
7.52%,3.52%,0.41%,1.21%,0.90%,5.69%,34.19%,1.81%,6.35%,7.53%,8.30%,5.37%,2.39%,2.72%,1.48%,59.43%,65.22%,1.03%,12.66%,3.24%,3.96%,1.11%,3.27%,2.25%,0.65%,25.35%,71.85%,0.78%,2.90%,3.30%
1.03%,2.14%,0.88%,1.09%,0.86%,1.98%,10.73%,0.60%,3.31%,5.07%,1.93%,0.33%,0.48%,0.94%,1.09%,6.52%,19.46%,0.69%,4.41%,2.54%,2.42%,1.02%,1.42%,0.36%,0.53%,1.10%,10.53%,0.17%,3.94%,5.86%
1.83%,0.95%,0.76%,1.04%,0.30%,1.90%,5.74%,0.57%,0.89%,2.76%,1.09%,0.95%,0.26%,0.78%,0.32%,7.43%,28.58%,0.38%,1.73%,2.77%,1.64%,1.12%,0.78%,0.78%,0.83%,2.32%,10.76%,0.53%,1.92%,2.85%
1.26%,0.98%,0.63%,0.73%,0.33%,1.31%,13.62%,0.37%,1.61%,3.31%,1.24%,0.57%,0.64%,0.37%,1.39%,7.58%,0.21%,0.66%,2.77%,2.44%,0.33%,0.48%,0.83%,0.31%,3.34%,0.47%,2.49%,3.34%,0.47%,2.49%
0.84%,0.37%,0.23%,0.49%,0.40%,1.50%,4.36%,0.21%,1.22%,3.76%,1.66%,0.67%,0.61%,0.44%,0.47%,1.84%,3.61%,0.32%,1.82%,2.83%,0.92%,0.83%,0.77%,0.67%,0.39%,1.04%,5.41%,0.34%,0.77%,2.44%
